instance_id,method,orders,couriers,distance_m,distance_km,objective_value,runtime_seconds,synthetic_sla_late_rate,total_lateness_minutes,workload_std,replans,status
jl_r31_0618,dynamic_online_greedy,175,9,250020.11268824324,250.02011268824324,250326.02157486405,0.0027988140009256313,0.0,0.0,3.0590888662080453,,ok
jl_r31_0618,dynamic_rolling_alns,175,9,284640.83782011806,284.64083782011807,284997.087143271,0.2648735000002489,0.0,0.0,3.5624932315291997,51.0,ok
jl_r31_0618,greedy_regret2_offline,175,9,87429.40389617096,87.42940389617095,1207061.5877863315,0.15667166999992332,0.49714285714285716,18637.48102854344,13.833221775543038,,ok
jl_r31_0618,ortools_cp_sat_decomposed,175,9,94204.89697797156,94.20489697797156,95187.47986273988,2.5848264179985563,0.005714285714285714,15.548208087805566,0.4969039949999533,,optimal;route_fallbacks=0/9
jl_r31_0618,pyvrp_static_distance,175,9,48312.27177114746,48.312271771147465,1101067.215908858,0.32510007500059146,0.5085714285714286,17525.929457757054,11.991766722872924,,ok
jl_r31_0618,alns_offline,175,9,55812.286894597935,55.81228689459793,958456.8175774275,5.258860922998792,0.4114285714285714,15024.84476325346,11.538448876219707,,ok
jl_r31_0529,dynamic_online_greedy,154,6,282124.8766937429,282.12487669374286,282393.61861868616,0.002668123999683303,0.0,0.0,2.6874192494328497,,ok
jl_r31_0529,dynamic_rolling_alns,154,6,198039.24803745738,198.03924803745738,198554.56886524873,0.37485975900017365,0.0,0.0,5.153208277913436,55.0,ok
jl_r31_0529,greedy_regret2_offline,154,6,70442.73295070889,70.44273295070889,1964759.659966693,0.1617695039985847,0.7012987012987013,31549.636466235268,13.387390418682136,,ok
jl_r31_0529,ortools_cp_sat_decomposed,154,6,90692.77464678165,90.69277464678164,90739.91509886074,4.8062219159983215,0.0,0.0,0.4714045207910317,,optimal;route_fallbacks=0/6
jl_r31_0529,pyvrp_static_distance,154,6,38771.6901834667,38.7716901834667,1082054.5694093613,0.17387083200082998,0.3961038961038961,17366.07016438174,13.186693629901656,,ok
jl_r31_0529,alns_offline,154,6,49942.28831316091,49.942288313160915,1218827.0557060817,4.63879268600067,0.4675324675324675,19463.062629254335,11.010096376609164,,ok
jl_r31_0617,dynamic_online_greedy,131,8,231404.31360831345,231.40431360831346,231668.59328971177,0.002517958999305847,0.0,0.0,2.6427968139832467,,ok
jl_r31_0617,dynamic_rolling_alns,131,8,189630.88971283546,189.63088971283545,190049.0329299274,0.2092553680013225,0.0,0.0,4.181432170919432,39.0,ok
jl_r31_0617,greedy_regret2_offline,131,8,82363.45205230708,82.36345205230708,934976.0897282156,0.07833311899958062,0.4961832061068702,14191.577892774445,11.179641094418013,,ok
jl_r31_0617,ortools_cp_sat_decomposed,131,8,87715.83922352304,87.71583922352305,88850.92143654554,1.3082889420002175,0.015267175572519083,18.11116535324824,0.4841229182759271,,optimal;route_fallbacks=0/8
jl_r31_0617,pyvrp_static_distance,131,8,38810.80815726488,38.81080815726488,720425.3080853695,0.13427295700057584,0.3969465648854962,11343.32812922275,10.148121747397397,,ok
jl_r31_0617,alns_offline,131,8,45264.008959387495,45.264008959387496,445214.19332009315,2.2236692719998246,0.22137404580152673,6651.993600519778,8.305683295190107,,ok
jl_r53_0529,dynamic_online_greedy,188,7,312509.8750244747,312.5098750244747,313201.5160780124,0.003875062000588514,0.0,0.0,6.91641053537726,,ok
jl_r53_0529,dynamic_rolling_alns,188,7,265234.1889359873,265.2341889359873,265785.6249092907,0.5339978430001793,0.0,0.0,5.514359733033938,55.0,ok
jl_r53_0529,greedy_regret2_offline,188,7,110550.21959041303,110.55021959041304,2162014.1513083135,0.7078988839984959,0.6117021276595744,34162.05501368754,17.406308966484957,,ok
jl_r53_0529,ortools_cp_sat_decomposed,188,7,180522.29964404387,180.52229964404387,434986.49971178005,6.930260500999793,0.07446808510638298,4236.155770785947,2.9485382057928993,,feasible;route_fallbacks=0/7
jl_r53_0529,pyvrp_static_distance,188,7,51470.547706485326,51.47054770648533,1782696.526713349,0.17346215900033712,0.5851063829787234,28832.62002791328,12.687773320671154,,ok
jl_r53_0529,alns_offline,188,7,57385.5024391612,57.3855024391612,1273670.0802349679,10.76144175400077,0.48404255319148937,20255.264736112807,9.68693629037982,,ok
jl_r53_0608,dynamic_online_greedy,142,7,286314.9135139705,286.3149135139705,286676.3166751326,0.002758895001534256,0.0,0.0,3.614031611621005,,ok
jl_r53_0608,dynamic_rolling_alns,142,7,238275.49699715112,238.27549699715112,238433.28786882522,0.288340615999914,0.0,0.0,1.577908716741037,45.0,ok
jl_r53_0608,greedy_regret2_offline,142,7,114208.47399934537,114.20847399934537,2142366.1645420277,0.0970554119994631,0.7183098591549296,33780.61241141506,13.209458577790663,,ok
jl_r53_0608,ortools_cp_sat_decomposed,142,7,124164.3134919996,124.1643134919996,192620.0834590017,4.142903465000927,0.06338028169014084,1140.1765761976142,0.45175395145262565,,optimal;route_fallbacks=0/7
jl_r53_0608,pyvrp_static_distance,142,7,56134.294560263435,56.134294560263434,1825651.677061219,0.22033861400086607,0.5563380281690141,29476.6885468808,9.160696881075083,,ok
jl_r53_0608,alns_offline,142,7,72675.27148169836,72.67527148169836,1089676.38583246,3.8747549899999285,0.4788732394366197,16932.7505112132,10.360836779696426,,ok
jl_r53_0810,dynamic_online_greedy,142,4,251304.12856534446,251.30412856534446,251533.25735009226,0.0025132149985438446,0.0,0.0,2.29128784747792,,ok
